freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.598134671699999387e+01,-7.166752917300000547e+01,-7.689169094400000404e+01,-7.534178032600000563e+01,-8.598661870899999826e+01
3.001001001000000099e-02,-7.743655880000000025e+01,-7.882321644099999958e+01,-7.550687057300000049e+01,-7.921070752500000367e+01,-8.088433006699999339e+01
5.002002002000000003e-02,-7.947404576899999995e+01,-7.974412376099999733e+01,-8.425429485499999771e+01,-8.366355287700000076e+01,-8.076388419600000645e+01
7.003003002999999560e-02,-8.384661826500000359e+01,-7.783757205599999907e+01,-7.576216815600000132e+01,-7.740773295299999290e+01,-8.809330777399999590e+01
9.004004004000000505e-02,-8.579223711000000208e+01,-7.939532745299999306e+01,-7.814666168099999766e+01,-7.894327764400000547e+01,-7.882770429500000375e+01
1.100500500500000006e-01,-7.604228697099999579e+01,-8.635507883799999718e+01,-9.199028533999999979e+01,-8.133692922699999883e+01,-7.583139453600000479e+01
1.300600600600000101e-01,-8.082433830399999408e+01,-8.441782438900000329e+01,-1.050348572300000001e+02,-7.782351527100000510e+01,-8.240512128800000369e+01
1.500700700700000056e-01,-7.693485626700000068e+01,-9.197605967500000190e+01,-7.819419370500000355e+01,-7.985385026599999492e+01,-8.539234554399999411e+01
1.700800800800000012e-01,-1.172122493899999967e+02,-8.160332184199999972e+01,-7.910443756200000109e+01,-9.168788005700000099e+01,-8.194600653000000534e+01
1.900900900899999968e-01,-8.546143266200000710e+01,-7.283985735199999567e+01,-7.583511528799999724e+01,-7.313803056599999763e+01,-7.906326156599999422e+01
2.101001000999999924e-01,-9.084835651199999518e+01,-8.311864490499999647e+01,-1.009307369400000027e+02,-8.256184276300000136e+01,-8.228763696400000072e+01
2.301101101100000157e-01,-9.285793177300000423e+01,-8.612704646299999922e+01,-8.263611187899999777e+01,-9.467743766399999572e+01,-8.160287829499999646e+01
2.501201201200000113e-01,-7.522135423699999990e+01,-7.507367080900000644e+01,-8.444228236200000026e+01,-8.038288088500000583e+01,-7.533967099000000189e+01
2.701301301299999791e-01,-7.416946674899999437e+01,-7.920224260899999535e+01,-7.851138379399999678e+01,-9.137452122700000245e+01,-8.115377822400000696e+01
2.901401401400000024e-01,-7.713323465599999906e+01,-8.075858695700000567e+01,-8.232590753300000586e+01,-7.867579167700000653e+01,-7.542288791999999376e+01
3.101501501499999702e-01,-8.000928035399999771e+01,-7.936071803100000466e+01,-7.687022814899999901e+01,-8.968050439300000676e+01,-8.312052676000000417e+01
3.301601601600000491e-01,-8.480028162799999336e+01,-9.267509748199999819e+01,-8.415242822599999784e+01,-8.104117822499999590e+01,-7.860003861900000288e+01
3.501701701700000169e-01,-7.980621750500000644e+01,-7.806726580400000159e+01,-8.984351675599999965e+01,-8.612359564800000555e+01,-8.625053393199999618e+01
3.701801801799999847e-01,-7.815540366499999436e+01,-8.918951036699999690e+01,-7.973282961600000363e+01,-8.052752156200000400e+01,-7.263945281499999851e+01
3.901901901900000080e-01,-8.171105132499999968e+01,-7.822619677599999477e+01,-7.635515887699999382e+01,-7.627752468799999974e+01,-7.694050717599999700e+01
4.102002001999999758e-01,-8.243947356500000012e+01,-8.215100801299999489e+01,-7.195640788100000407e+01,-7.769356420799999796e+01,-6.977361556600000370e+01
4.302102102099999992e-01,-7.830566767099999481e+01,-7.578263230199999612e+01,-8.103108320299999434e+01,-8.493914044500000671e+01,-8.126937296399999866e+01
4.502202202200000225e-01,-7.757774525300000334e+01,-7.401869140499999844e+01,-7.915350130599999545e+01,-8.032576320900000155e+01,-7.401896384500000181e+01
4.702302302300000458e-01,-7.218966081499999632e+01,-7.506759151900000404e+01,-7.313924819199999661e+01,-7.513377950000000283e+01,-7.575406266699999946e+01
4.902402402400000136e-01,-8.685940020099999970e+01,-7.283514591399999460e+01,-6.987836894999999515e+01,-6.816289127199999598e+01,-7.454860165099999847e+01
5.102502502500000370e-01,-7.385928483799999356e+01,-7.643551860200000192e+01,-7.090361900800000683e+01,-7.332774057500000708e+01,-7.502068174500000453e+01
5.302602602599999493e-01,-7.925646242199999847e+01,-7.523776783899999998e+01,-7.466731748099999777e+01,-7.933983175100000551e+01,-6.683098024800000303e+01
5.502702702699999726e-01,-7.119399747699999637e+01,-7.950460443699999757e+01,-6.819630605300000070e+01,-8.184974123700000348e+01,-6.748782447000000673e+01
5.702802802799999959e-01,-7.218965274900000395e+01,-7.675276409900000374e+01,-6.743027760100000023e+01,-7.553452583600000025e+01,-6.542305770999999481e+01
5.902902902899999082e-01,-7.637820197499999608e+01,-6.932479240300000356e+01,-6.670844526199999791e+01,-7.183041048600000522e+01,-6.218851326200000074e+01
6.103003002999999316e-01,-7.340509753800000681e+01,-8.186858143400000642e+01,-6.257178849900000017e+01,-6.833674741199999403e+01,-5.845747549299999690e+01
6.303103103099999549e-01,-6.477897093299999653e+01,-8.358266915100000460e+01,-5.919628352899999868e+01,-7.102369509499999367e+01,-5.667825831500000078e+01
6.503203203200000893e-01,-6.451704443299999525e+01,-6.826299397500000055e+01,-5.595585487700000016e+01,-6.949329002700000046e+01,-5.346649290399999899e+01
6.703303303300000016e-01,-6.331572138399999972e+01,-7.106430970899999977e+01,-5.320422605200000277e+01,-6.441189495800000486e+01,-5.145135508399999935e+01
6.903403403400000249e-01,-5.842122578299999702e+01,-6.805824839999999654e+01,-5.208430475600000165e+01,-6.914384753400000250e+01,-4.973745819100000176e+01
7.103503503500000482e-01,-6.174822873499999787e+01,-5.899011893899999848e+01,-5.062442912299999875e+01,-6.333583721800000177e+01,-4.869919591699999728e+01
7.303603603599999605e-01,-5.792952407100000300e+01,-5.836796700299999685e+01,-4.960258365699999672e+01,-6.765212100300000486e+01,-4.635475139700000113e+01
7.503703703699999839e-01,-5.807188825099999718e+01,-5.767776715699999812e+01,-4.963554720199999792e+01,-6.903974611900000014e+01,-4.486428756200000123e+01
7.703803803800000072e-01,-5.644764983900000033e+01,-5.525631242000000043e+01,-5.024011845300000090e+01,-6.242207171100000096e+01,-4.429364832899999982e+01
7.903903903900000305e-01,-5.561532782399999775e+01,-5.717709346200000198e+01,-4.942784773399999665e+01,-6.858998628000000508e+01,-4.338292005800000339e+01
8.104004003999999428e-01,-5.409421376699999939e+01,-5.884024798600000139e+01,-4.779208127999999789e+01,-6.698253841800000430e+01,-4.256146318300000075e+01
8.304104104099999661e-01,-5.350462422300000043e+01,-6.141789635599999997e+01,-4.886288683000000077e+01,-6.272683097400000207e+01,-4.241202241900000303e+01
8.504204204199999895e-01,-5.217149410799999742e+01,-5.594070164899999753e+01,-4.993478699900000350e+01,-5.829803722799999832e+01,-4.203480230000000262e+01
8.704304304299999018e-01,-5.185830485000000323e+01,-5.349008517800000106e+01,-4.909522146100000128e+01,-6.129674806999999959e+01,-4.279873340700000028e+01
8.904404404400000361e-01,-5.210491007200000269e+01,-5.564437092699999710e+01,-4.844048541800000152e+01,-5.949842166300000201e+01,-4.240819369999999822e+01
9.104504504500000595e-01,-5.425293388000000050e+01,-5.673563600399999984e+01,-4.836425266399999856e+01,-5.944758638599999756e+01,-4.199852457299999742e+01
9.304604604600000828e-01,-5.330612202500000052e+01,-5.531791333599999660e+01,-4.729479103199999912e+01,-5.798027935700000057e+01,-4.206396567299999845e+01
9.504704704699999951e-01,-5.439800477400000034e+01,-5.593122937399999728e+01,-4.744410378199999911e+01,-6.176721013200000243e+01,-4.225821691299999827e+01
9.704804804800000184e-01,-5.596025304199999795e+01,-5.770650383499999947e+01,-4.778920257800000115e+01,-6.037481722399999740e+01,-4.313212576699999801e+01
9.904904904900000417e-01,-5.512181426899999792e+01,-6.246339795499999781e+01,-4.825783637400000003e+01,-6.201954962199999954e+01,-4.354985255799999777e+01
1.010500500500000065e+00,-5.720088822700000009e+01,-6.528675004699999818e+01,-4.878869416399999892e+01,-6.315330688400000270e+01,-4.428695716899999724e+01
1.030510510500000088e+00,-6.216401514900000080e+01,-6.996772038400000326e+01,-4.865333628199999794e+01,-6.235790101799999974e+01,-4.462939560299999897e+01
1.050520520500000110e+00,-5.960851435600000059e+01,-5.940315981199999840e+01,-4.860863401900000014e+01,-6.296343031400000001e+01,-4.515529225600000274e+01
1.070530530499999911e+00,-6.310751218299999721e+01,-6.042082786099999936e+01,-4.984603601100000247e+01,-6.528808362399999510e+01,-4.493662620700000332e+01
1.090540540499999933e+00,-6.257625398599999755e+01,-6.154778144099999793e+01,-4.977406298199999668e+01,-6.368447364400000055e+01,-4.406427068600000041e+01
1.110550550599999964e+00,-5.929057454699999852e+01,-6.141254362499999786e+01,-5.005496997800000258e+01,-6.842017508899999712e+01,-4.352988571899999926e+01
