freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
1.000000000000000048e-04,-7.969768652700000189e+01,0.000000000000000000e+00,7.969768652700000189e+01,-8.230869325999999830e+01,0.000000000000000000e+00,8.230869325999999830e+01
2.011991992000000326e-02,-8.590700968800000226e+01,0.000000000000000000e+00,8.590700968800000226e+01,-8.550982680100000266e+01,0.000000000000000000e+00,8.550982680100000266e+01
4.013983984000000366e-02,-9.963463490499999864e+01,0.000000000000000000e+00,9.963463490499999864e+01,-9.282713418000000161e+01,0.000000000000000000e+00,9.282713418000000161e+01
6.015975976000000058e-02,-9.937808780599999636e+01,0.000000000000000000e+00,9.937808780599999636e+01,-9.517776401700000122e+01,0.000000000000000000e+00,9.517776401700000122e+01
8.017967968000000445e-02,-1.081083472400000005e+02,0.000000000000000000e+00,1.081083472400000005e+02,-9.007681419099999687e+01,0.000000000000000000e+00,9.007681419099999687e+01
1.001995995999999944e-01,-9.639383036499999946e+01,0.000000000000000000e+00,9.639383036499999946e+01,-9.093626328999999942e+01,0.000000000000000000e+00,9.093626328999999942e+01
1.202195195199999983e-01,-9.593306408300000498e+01,0.000000000000000000e+00,9.593306408300000498e+01,-9.406383349600000088e+01,0.000000000000000000e+00,9.406383349600000088e+01
1.402394394400000022e-01,-1.046422747000000015e+02,0.000000000000000000e+00,1.046422747000000015e+02,-1.073440113999999994e+02,0.000000000000000000e+00,1.073440113999999994e+02
1.602593593600000199e-01,-1.008542110599999972e+02,0.000000000000000000e+00,1.008542110599999972e+02,-1.052571877799999953e+02,0.000000000000000000e+00,1.052571877799999953e+02
1.802792792800000099e-01,-9.014139792100000648e+01,0.000000000000000000e+00,9.014139792100000648e+01,-1.041760411700000049e+02,0.000000000000000000e+00,1.041760411700000049e+02
2.002991991999999999e-01,-1.004693049400000007e+02,0.000000000000000000e+00,1.004693049400000007e+02,-9.443420969299999967e+01,0.000000000000000000e+00,9.443420969299999967e+01
2.203191191200000176e-01,-9.740749503499999662e+01,0.000000000000000000e+00,9.740749503499999662e+01,-9.701456497099999865e+01,0.000000000000000000e+00,9.701456497099999865e+01
2.403390390399999799e-01,-9.421268849599999839e+01,0.000000000000000000e+00,9.421268849599999839e+01,-9.587819617300000630e+01,0.000000000000000000e+00,9.587819617300000630e+01
2.603589589599999976e-01,-9.016087511700000334e+01,0.000000000000000000e+00,9.016087511700000334e+01,-8.968390577300000643e+01,0.000000000000000000e+00,8.968390577300000643e+01
2.803788788800000154e-01,-9.891219178800000122e+01,0.000000000000000000e+00,9.891219178800000122e+01,-1.003079210599999982e+02,0.000000000000000000e+00,1.003079210599999982e+02
3.003987988000000331e-01,-9.036956886299999780e+01,0.000000000000000000e+00,9.036956886299999780e+01,-1.021888101400000011e+02,0.000000000000000000e+00,1.021888101400000011e+02
3.204187187200000508e-01,-9.645799543799999753e+01,0.000000000000000000e+00,9.645799543799999753e+01,-9.722480459400000541e+01,0.000000000000000000e+00,9.722480459400000541e+01
3.404386386400000131e-01,-9.481156404700000451e+01,0.000000000000000000e+00,9.481156404700000451e+01,-9.564726030299999593e+01,0.000000000000000000e+00,9.564726030299999593e+01
3.604585585599999753e-01,-9.421447595200000080e+01,0.000000000000000000e+00,9.421447595200000080e+01,-9.871725865499999486e+01,0.000000000000000000e+00,9.871725865499999486e+01
3.804784784799999930e-01,-1.155740291700000029e+02,0.000000000000000000e+00,1.155740291700000029e+02,-9.388863685399999781e+01,0.000000000000000000e+00,9.388863685399999781e+01
4.004983983999999553e-01,-9.639362340099999926e+01,0.000000000000000000e+00,9.639362340099999926e+01,-9.508542088299999762e+01,0.000000000000000000e+00,9.508542088299999762e+01
4.205183183199999730e-01,-9.046235891199999912e+01,0.000000000000000000e+00,9.046235891199999912e+01,-8.992281290900000101e+01,0.000000000000000000e+00,8.992281290900000101e+01
4.405382382399999908e-01,-9.206182350999999642e+01,0.000000000000000000e+00,9.206182350999999642e+01,-8.948239657800000657e+01,0.000000000000000000e+00,8.948239657800000657e+01
4.605581581600000085e-01,-8.619061052700000403e+01,0.000000000000000000e+00,8.619061052700000403e+01,-9.418790868099999614e+01,0.000000000000000000e+00,9.418790868099999614e+01
4.805780780799999707e-01,-8.704012629599999684e+01,0.000000000000000000e+00,8.704012629599999684e+01,-9.000216621299999531e+01,0.000000000000000000e+00,9.000216621299999531e+01
5.005979980000000440e-01,-9.276642332800000190e+01,0.000000000000000000e+00,9.276642332800000190e+01,-8.468434210899999925e+01,0.000000000000000000e+00,8.468434210899999925e+01
5.206179179200000062e-01,-9.226804763100000173e+01,0.000000000000000000e+00,9.226804763100000173e+01,-8.802336530300000561e+01,0.000000000000000000e+00,8.802336530300000561e+01
5.406378378400000795e-01,-8.398659721100000297e+01,0.000000000000000000e+00,8.398659721100000297e+01,-8.735827407899999741e+01,0.000000000000000000e+00,8.735827407899999741e+01
5.606577577600000417e-01,-8.556003660300000035e+01,0.000000000000000000e+00,8.556003660300000035e+01,-8.393360687300000222e+01,0.000000000000000000e+00,8.393360687300000222e+01
5.806776776799998929e-01,-8.379535883100000149e+01,0.000000000000000000e+00,8.379535883100000149e+01,-7.837008534999999654e+01,0.000000000000000000e+00,7.837008534999999654e+01
6.006975976000000772e-01,-7.973413885099999732e+01,0.000000000000000000e+00,7.973413885099999732e+01,-7.896199172900000463e+01,0.000000000000000000e+00,7.896199172900000463e+01
6.207175175199999284e-01,-7.566464423799999395e+01,0.000000000000000000e+00,7.566464423799999395e+01,-7.723387677200000212e+01,0.000000000000000000e+00,7.723387677200000212e+01
6.407374374400001127e-01,-7.546122824600000456e+01,0.000000000000000000e+00,7.546122824600000456e+01,-7.715253540800000565e+01,0.000000000000000000e+00,7.715253540800000565e+01
6.607573573599999639e-01,-7.591730830000000196e+01,0.000000000000000000e+00,7.591730830000000196e+01,-7.369574581400000568e+01,0.000000000000000000e+00,7.369574581400000568e+01
6.807772772799999261e-01,-7.191907033399999705e+01,0.000000000000000000e+00,7.191907033399999705e+01,-7.055166302099999598e+01,0.000000000000000000e+00,7.055166302099999598e+01
7.007971971999999994e-01,-6.919830575500000691e+01,0.000000000000000000e+00,6.919830575500000691e+01,-6.843747523400000432e+01,0.000000000000000000e+00,6.843747523400000432e+01
7.208171171199999616e-01,-6.730015509400000440e+01,0.000000000000000000e+00,6.730015509400000440e+01,-6.645311482500000011e+01,0.000000000000000000e+00,6.645311482500000011e+01
7.408370370399999238e-01,-6.583952506699999674e+01,0.000000000000000000e+00,6.583952506699999674e+01,-6.344531591799999859e+01,0.000000000000000000e+00,6.344531591799999859e+01
7.608569569599999971e-01,-6.472875939499999731e+01,0.000000000000000000e+00,6.472875939499999731e+01,-6.211572394800000296e+01,0.000000000000000000e+00,6.211572394800000296e+01
7.808768768799999593e-01,-6.322517415299999755e+01,0.000000000000000000e+00,6.322517415299999755e+01,-6.090227152500000329e+01,0.000000000000000000e+00,6.090227152500000329e+01
8.008967967999999216e-01,-6.223713377499999666e+01,0.000000000000000000e+00,6.223713377499999666e+01,-5.956912943199999688e+01,0.000000000000000000e+00,5.956912943199999688e+01
8.209167167199999948e-01,-6.063562885000000335e+01,0.000000000000000000e+00,6.063562885000000335e+01,-5.906478154799999913e+01,0.000000000000000000e+00,5.906478154799999913e+01
8.409366366399999571e-01,-5.874317283300000270e+01,0.000000000000000000e+00,5.874317283300000270e+01,-5.818951261699999833e+01,0.000000000000000000e+00,5.818951261699999833e+01
8.609565565599999193e-01,-5.719411420400000168e+01,0.000000000000000000e+00,5.719411420400000168e+01,-5.569486296099999834e+01,0.000000000000000000e+00,5.569486296099999834e+01
8.809764764799999925e-01,-5.549682955899999826e+01,0.000000000000000000e+00,5.549682955899999826e+01,-5.350707650500000057e+01,0.000000000000000000e+00,5.350707650500000057e+01
9.009963963999999548e-01,-5.291269602900000280e+01,0.000000000000000000e+00,5.291269602900000280e+01,-5.097452861899999732e+01,0.000000000000000000e+00,5.097452861899999732e+01
9.210163163200000280e-01,-4.900098993799999647e+01,0.000000000000000000e+00,4.900098993799999647e+01,-4.905785158700000181e+01,0.000000000000000000e+00,4.905785158700000181e+01
9.410362362399999903e-01,-4.690371820200000030e+01,0.000000000000000000e+00,4.690371820200000030e+01,-4.668088882200000000e+01,0.000000000000000000e+00,4.668088882200000000e+01
9.610561561599999525e-01,-4.406165360600000014e+01,0.000000000000000000e+00,4.406165360600000014e+01,-4.349970752600000168e+01,0.000000000000000000e+00,4.349970752600000168e+01
9.810760760800000257e-01,-4.128787801499999688e+01,0.000000000000000000e+00,4.128787801499999688e+01,-4.105726433299999911e+01,0.000000000000000000e+00,4.105726433299999911e+01
1.001095996000000099e+00,-3.988532861099999849e+01,0.000000000000000000e+00,3.988532861099999849e+01,-3.917939851599999912e+01,0.000000000000000000e+00,3.917939851599999912e+01
1.021115915900000060e+00,-3.877533627999999766e+01,0.000000000000000000e+00,3.877533627999999766e+01,-3.844657161699999648e+01,0.000000000000000000e+00,3.844657161699999648e+01
1.041135835800000020e+00,-3.791160236099999992e+01,0.000000000000000000e+00,3.791160236099999992e+01,-3.746259661599999902e+01,0.000000000000000000e+00,3.746259661599999902e+01
1.061155755799999989e+00,-3.528329161199999930e+01,0.000000000000000000e+00,3.528329161199999930e+01,-3.615804804599999756e+01,0.000000000000000000e+00,3.615804804599999756e+01
1.081175675699999950e+00,-3.334793594300000308e+01,0.000000000000000000e+00,3.334793594300000308e+01,-3.418889888999999727e+01,0.000000000000000000e+00,3.418889888999999727e+01
1.101195595599999910e+00,-3.271956920899999943e+01,0.000000000000000000e+00,3.271956920899999943e+01,-3.362886224900000087e+01,0.000000000000000000e+00,3.362886224900000087e+01
1.121215515500000093e+00,-3.158931750300000019e+01,0.000000000000000000e+00,3.158931750300000019e+01,-3.246023937100000012e+01,0.000000000000000000e+00,3.246023937100000012e+01
1.141235435400000053e+00,-3.090355457400000105e+01,0.000000000000000000e+00,3.090355457400000105e+01,-3.128180692800000173e+01,0.000000000000000000e+00,3.128180692800000173e+01
1.161255355400000022e+00,-2.964659628800000135e+01,0.000000000000000000e+00,2.964659628800000135e+01,-3.054505220300000090e+01,0.000000000000000000e+00,3.054505220300000090e+01
1.181275275299999983e+00,-2.847605705300000167e+01,0.000000000000000000e+00,2.847605705300000167e+01,-2.854819093700000110e+01,0.000000000000000000e+00,2.854819093700000110e+01
1.201295195199999943e+00,-2.711742632099999994e+01,0.000000000000000000e+00,2.711742632099999994e+01,-2.758059890299999850e+01,0.000000000000000000e+00,2.758059890299999850e+01
1.221315115099999904e+00,-2.637841732100000058e+01,0.000000000000000000e+00,2.637841732100000058e+01,-2.664075659499999915e+01,0.000000000000000000e+00,2.664075659499999915e+01
1.241335035000000087e+00,-2.530576516700000056e+01,0.000000000000000000e+00,2.530576516700000056e+01,-2.655333379700000052e+01,0.000000000000000000e+00,2.655333379700000052e+01
1.261354955000000055e+00,-2.416327866600000007e+01,0.000000000000000000e+00,2.416327866600000007e+01,-2.500539107199999833e+01,0.000000000000000000e+00,2.500539107199999833e+01
1.281374874900000016e+00,-2.333379060400000071e+01,0.000000000000000000e+00,2.333379060400000071e+01,-2.439173140600000167e+01,0.000000000000000000e+00,2.439173140600000167e+01
1.301394794799999977e+00,-2.276228219900000127e+01,0.000000000000000000e+00,2.276228219900000127e+01,-2.301050588400000052e+01,0.000000000000000000e+00,2.301050588400000052e+01
1.321414714699999937e+00,-2.228122314200000176e+01,0.000000000000000000e+00,2.228122314200000176e+01,-2.133267212699999860e+01,0.000000000000000000e+00,2.133267212699999860e+01
1.341434634599999898e+00,-2.161073005100000088e+01,0.000000000000000000e+00,2.161073005100000088e+01,-2.038523193199999994e+01,0.000000000000000000e+00,2.038523193199999994e+01
1.361454554599999867e+00,-2.112668895699999894e+01,0.000000000000000000e+00,2.112668895699999894e+01,-1.956898036500000160e+01,0.000000000000000000e+00,1.956898036500000160e+01
1.381474474500000049e+00,-1.966393219600000108e+01,0.000000000000000000e+00,1.966393219600000108e+01,-1.889065375399999880e+01,0.000000000000000000e+00,1.889065375399999880e+01
