freq_GHz,S21_real,S21_imag,S21_mag,S31_real,S31_imag,S31_mag
2.403390390399999799e-01,-1.080215547600000008e+02,0.000000000000000000e+00,1.080215547600000008e+02,-9.676408481199999301e+01,0.000000000000000000e+00,9.676408481199999301e+01
2.603589589599999976e-01,-9.767439073100000257e+01,0.000000000000000000e+00,9.767439073100000257e+01,-9.242729715999999485e+01,0.000000000000000000e+00,9.242729715999999485e+01
2.803788788800000154e-01,-9.868950019700000098e+01,0.000000000000000000e+00,9.868950019700000098e+01,-9.417840871900000366e+01,0.000000000000000000e+00,9.417840871900000366e+01
3.003987988000000331e-01,-9.855536504900000239e+01,0.000000000000000000e+00,9.855536504900000239e+01,-1.008199924000000038e+02,0.000000000000000000e+00,1.008199924000000038e+02
3.204187187200000508e-01,-8.685203437399999871e+01,0.000000000000000000e+00,8.685203437399999871e+01,-9.834217581599999392e+01,0.000000000000000000e+00,9.834217581599999392e+01
3.404386386400000131e-01,-9.005123198299999387e+01,0.000000000000000000e+00,9.005123198299999387e+01,-9.204764886700000659e+01,0.000000000000000000e+00,9.204764886700000659e+01
3.604585585599999753e-01,-9.924712637800000437e+01,0.000000000000000000e+00,9.924712637800000437e+01,-1.006186742200000026e+02,0.000000000000000000e+00,1.006186742200000026e+02
3.804784784799999930e-01,-9.286228106900000512e+01,0.000000000000000000e+00,9.286228106900000512e+01,-9.528841062200000067e+01,0.000000000000000000e+00,9.528841062200000067e+01
4.004983983999999553e-01,-9.447599529999999390e+01,0.000000000000000000e+00,9.447599529999999390e+01,-1.074184887899999978e+02,0.000000000000000000e+00,1.074184887899999978e+02
4.205183183199999730e-01,-8.425751646400000539e+01,0.000000000000000000e+00,8.425751646400000539e+01,-9.398406053499999757e+01,0.000000000000000000e+00,9.398406053499999757e+01
4.405382382399999908e-01,-1.030794995199999988e+02,0.000000000000000000e+00,1.030794995199999988e+02,-9.727547762899999384e+01,0.000000000000000000e+00,9.727547762899999384e+01
4.605581581600000085e-01,-8.679754079900000363e+01,0.000000000000000000e+00,8.679754079900000363e+01,-8.293901995599999566e+01,0.000000000000000000e+00,8.293901995599999566e+01
4.805780780799999707e-01,-9.197225021600000616e+01,0.000000000000000000e+00,9.197225021600000616e+01,-9.449390896500000281e+01,0.000000000000000000e+00,9.449390896500000281e+01
5.005979980000000440e-01,-8.813802023799999574e+01,0.000000000000000000e+00,8.813802023799999574e+01,-1.031161714600000039e+02,0.000000000000000000e+00,1.031161714600000039e+02
5.206179179200000062e-01,-9.506241442200000336e+01,0.000000000000000000e+00,9.506241442200000336e+01,-9.012270044299999938e+01,0.000000000000000000e+00,9.012270044299999938e+01
5.406378378400000795e-01,-8.726251782600000695e+01,0.000000000000000000e+00,8.726251782600000695e+01,-8.429947343899999623e+01,0.000000000000000000e+00,8.429947343899999623e+01
5.606577577600000417e-01,-8.653570043499999542e+01,0.000000000000000000e+00,8.653570043499999542e+01,-8.546009951999999998e+01,0.000000000000000000e+00,8.546009951999999998e+01
5.806776776799998929e-01,-8.513988435000000266e+01,0.000000000000000000e+00,8.513988435000000266e+01,-8.057744978899999921e+01,0.000000000000000000e+00,8.057744978899999921e+01
6.006975976000000772e-01,-7.847336663500000498e+01,0.000000000000000000e+00,7.847336663500000498e+01,-7.958447693799999456e+01,0.000000000000000000e+00,7.958447693799999456e+01
6.207175175199999284e-01,-7.723069225899999424e+01,0.000000000000000000e+00,7.723069225899999424e+01,-7.816311051700000689e+01,0.000000000000000000e+00,7.816311051700000689e+01
6.407374374400001127e-01,-7.433124070799999572e+01,0.000000000000000000e+00,7.433124070799999572e+01,-7.479122342399999468e+01,0.000000000000000000e+00,7.479122342399999468e+01
6.607573573599999639e-01,-7.095236892200000511e+01,0.000000000000000000e+00,7.095236892200000511e+01,-7.551407615399999429e+01,0.000000000000000000e+00,7.551407615399999429e+01
6.807772772799999261e-01,-7.124413094499999488e+01,0.000000000000000000e+00,7.124413094499999488e+01,-7.025658334000000593e+01,0.000000000000000000e+00,7.025658334000000593e+01
7.007971971999999994e-01,-6.928078396200000100e+01,0.000000000000000000e+00,6.928078396200000100e+01,-6.852912440800000127e+01,0.000000000000000000e+00,6.852912440800000127e+01
7.208171171199999616e-01,-6.612409212000000025e+01,0.000000000000000000e+00,6.612409212000000025e+01,-6.541369375600000069e+01,0.000000000000000000e+00,6.541369375600000069e+01
7.408370370399999238e-01,-6.669633887400000560e+01,0.000000000000000000e+00,6.669633887400000560e+01,-6.344135052800000096e+01,0.000000000000000000e+00,6.344135052800000096e+01
7.608569569599999971e-01,-6.476197893399999828e+01,0.000000000000000000e+00,6.476197893399999828e+01,-6.184276504500000016e+01,0.000000000000000000e+00,6.184276504500000016e+01
7.808768768799999593e-01,-6.300402595399999939e+01,0.000000000000000000e+00,6.300402595399999939e+01,-6.088983935899999977e+01,0.000000000000000000e+00,6.088983935899999977e+01
8.008967967999999216e-01,-6.261563005099999657e+01,0.000000000000000000e+00,6.261563005099999657e+01,-5.975718844899999738e+01,0.000000000000000000e+00,5.975718844899999738e+01
8.209167167199999948e-01,-6.072796820599999990e+01,0.000000000000000000e+00,6.072796820599999990e+01,-5.920892311200000080e+01,0.000000000000000000e+00,5.920892311200000080e+01
8.409366366399999571e-01,-5.867707304799999690e+01,0.000000000000000000e+00,5.867707304799999690e+01,-5.778323839000000106e+01,0.000000000000000000e+00,5.778323839000000106e+01
8.609565565599999193e-01,-5.692095378999999866e+01,0.000000000000000000e+00,5.692095378999999866e+01,-5.547536937499999965e+01,0.000000000000000000e+00,5.547536937499999965e+01
8.809764764799999925e-01,-5.527546778499999647e+01,0.000000000000000000e+00,5.527546778499999647e+01,-5.334955388600000248e+01,0.000000000000000000e+00,5.334955388600000248e+01
9.009963963999999548e-01,-5.249977257900000183e+01,0.000000000000000000e+00,5.249977257900000183e+01,-5.092894132100000348e+01,0.000000000000000000e+00,5.092894132100000348e+01
9.210163163200000280e-01,-4.894744685999999945e+01,0.000000000000000000e+00,4.894744685999999945e+01,-4.914662939200000125e+01,0.000000000000000000e+00,4.914662939200000125e+01
9.410362362399999903e-01,-4.700995221099999810e+01,0.000000000000000000e+00,4.700995221099999810e+01,-4.677334368300000023e+01,0.000000000000000000e+00,4.677334368300000023e+01
9.610561561599999525e-01,-4.407955985000000254e+01,0.000000000000000000e+00,4.407955985000000254e+01,-4.349928851899999671e+01,0.000000000000000000e+00,4.349928851899999671e+01
9.810760760800000257e-01,-4.126797143299999959e+01,0.000000000000000000e+00,4.126797143299999959e+01,-4.101032875599999983e+01,0.000000000000000000e+00,4.101032875599999983e+01
1.001095996000000099e+00,-3.975954592200000093e+01,0.000000000000000000e+00,3.975954592200000093e+01,-3.921384766999999982e+01,0.000000000000000000e+00,3.921384766999999982e+01
1.021115915900000060e+00,-3.874232776099999853e+01,0.000000000000000000e+00,3.874232776099999853e+01,-3.853059420600000351e+01,0.000000000000000000e+00,3.853059420600000351e+01
1.041135835800000020e+00,-3.792761845399999743e+01,0.000000000000000000e+00,3.792761845399999743e+01,-3.739638217000000253e+01,0.000000000000000000e+00,3.739638217000000253e+01
1.061155755799999989e+00,-3.548576113099999674e+01,0.000000000000000000e+00,3.548576113099999674e+01,-3.619846158000000003e+01,0.000000000000000000e+00,3.619846158000000003e+01
1.081175675699999950e+00,-3.332083732699999956e+01,0.000000000000000000e+00,3.332083732699999956e+01,-3.423712613000000005e+01,0.000000000000000000e+00,3.423712613000000005e+01
1.101195595599999910e+00,-3.258418832600000314e+01,0.000000000000000000e+00,3.258418832600000314e+01,-3.357728065999999956e+01,0.000000000000000000e+00,3.357728065999999956e+01
1.121215515500000093e+00,-3.154805724199999872e+01,0.000000000000000000e+00,3.154805724199999872e+01,-3.244462556100000228e+01,0.000000000000000000e+00,3.244462556100000228e+01
1.141235435400000053e+00,-3.098515134999999887e+01,0.000000000000000000e+00,3.098515134999999887e+01,-3.136300760399999987e+01,0.000000000000000000e+00,3.136300760399999987e+01
1.161255355400000022e+00,-2.965806319700000060e+01,0.000000000000000000e+00,2.965806319700000060e+01,-3.057039670400000020e+01,0.000000000000000000e+00,3.057039670400000020e+01
1.181275275299999983e+00,-2.835822021999999976e+01,0.000000000000000000e+00,2.835822021999999976e+01,-2.850153757200000015e+01,0.000000000000000000e+00,2.850153757200000015e+01
1.201295195199999943e+00,-2.699456123599999913e+01,0.000000000000000000e+00,2.699456123599999913e+01,-2.758867515100000034e+01,0.000000000000000000e+00,2.758867515100000034e+01
1.221315115099999904e+00,-2.642436321599999971e+01,0.000000000000000000e+00,2.642436321599999971e+01,-2.650814624799999919e+01,0.000000000000000000e+00,2.650814624799999919e+01
1.241335035000000087e+00,-2.531472945899999871e+01,0.000000000000000000e+00,2.531472945899999871e+01,-2.645502139499999927e+01,0.000000000000000000e+00,2.645502139499999927e+01
