freq_GHz,S21_dB,S31_dB
1.000000000000000048e-04,-8.286600200799999527e+01,-8.063532807100000355e+01
2.011991992000000326e-02,-8.816917410599999982e+01,-1.011132016499999935e+02
4.013983984000000366e-02,-1.027061365800000061e+02,-1.055999352900000048e+02
6.015975976000000058e-02,-9.085212450100000581e+01,-8.826554060399999457e+01
8.017967968000000445e-02,-9.215716816600000527e+01,-9.192793991199999937e+01
1.001995995999999944e-01,-9.004071911600000533e+01,-9.439127624099999991e+01
1.202195195199999983e-01,-9.482238729600000227e+01,-9.311935292299999389e+01
1.402394394400000022e-01,-9.518639493499999560e+01,-9.788728795599999444e+01
1.602593593600000199e-01,-9.792181116199999735e+01,-9.263472769800000606e+01
1.802792792800000099e-01,-9.404607548699999597e+01,-9.407371042100000125e+01
2.002991991999999999e-01,-1.001057753000000048e+02,-9.700860408799999846e+01
2.203191191200000176e-01,-1.033676403900000054e+02,-9.464655821200000219e+01
2.403390390399999799e-01,-9.971651892900000291e+01,-9.231306937899999809e+01
2.603589589599999976e-01,-9.203505458799999417e+01,-8.999333285800000226e+01
2.803788788800000154e-01,-9.088448840499999903e+01,-9.545397425999999541e+01
3.003987988000000331e-01,-9.891533939699999678e+01,-9.787286276999999757e+01
3.204187187200000508e-01,-9.664684897799999419e+01,-1.124500939200000005e+02
3.404386386400000131e-01,-9.725928484099999594e+01,-9.236218731799999659e+01
3.604585585599999753e-01,-9.808310939999999789e+01,-9.525915853499999741e+01
3.804784784799999930e-01,-9.646818498899999383e+01,-9.874654783100000088e+01
4.004983983999999553e-01,-8.375372928199999478e+01,-8.335677677300000710e+01
4.205183183199999730e-01,-8.833822257500000319e+01,-8.363431527500000584e+01
4.405382382399999908e-01,-8.466551257199999725e+01,-8.845787266400000703e+01
4.605581581600000085e-01,-9.932794315600000346e+01,-8.963306889199999716e+01
4.805780780799999707e-01,-8.924917385999999908e+01,-8.386658662099999617e+01
5.005979980000000440e-01,-8.684860128799999757e+01,-8.867144245800000135e+01
5.206179179200000062e-01,-9.441447973699999352e+01,-8.982130045600000301e+01
5.406378378400000795e-01,-8.140481502199999397e+01,-8.600182393800000114e+01
5.606577577600000417e-01,-8.735441192099999341e+01,-8.418769831800000247e+01
5.806776776799998929e-01,-9.123147496699999692e+01,-8.487282782699999473e+01
6.006975976000000772e-01,-8.744227598300000182e+01,-8.476448652999999922e+01
6.207175175199999284e-01,-7.857212280199999554e+01,-7.768686933300000419e+01
6.407374374400001127e-01,-8.779161398499999791e+01,-7.138511852800000668e+01
6.607573573599999639e-01,-8.385427504099999396e+01,-6.876199456000000509e+01
6.807772772799999261e-01,-7.433793664700000647e+01,-6.564562360499999727e+01
7.007971971999999994e-01,-8.114427697799999351e+01,-6.468627576000000090e+01
7.208171171199999616e-01,-7.628513470599999380e+01,-6.622873095100000285e+01
7.408370370399999238e-01,-7.327338429200000292e+01,-6.486037739500000043e+01
7.608569569599999971e-01,-7.302063789100000690e+01,-6.465739194900000086e+01
7.808768768799999593e-01,-7.371015058000000408e+01,-6.417781220800000597e+01
8.008967967999999216e-01,-6.316415027200000054e+01,-6.190509864100000215e+01
8.209167167199999948e-01,-6.159605806999999800e+01,-5.801477306700000014e+01
8.409366366399999571e-01,-6.089394692399999798e+01,-5.733885628499999854e+01
8.609565565599999193e-01,-5.706659520800000251e+01,-5.749055230199999755e+01
8.809764764799999925e-01,-5.840871938899999805e+01,-5.935848067199999889e+01
9.009963963999999548e-01,-6.016619006100000178e+01,-6.297109315000000151e+01
9.210163163200000280e-01,-6.109268495399999921e+01,-7.132554222400000299e+01
9.410362362399999903e-01,-5.892223382400000276e+01,-6.918192625099999304e+01
9.610561561599999525e-01,-5.890401198499999680e+01,-6.646329167199999688e+01
9.810760760800000257e-01,-5.988802584300000120e+01,-6.873503400399999919e+01
1.001095996000000099e+00,-5.984206751600000018e+01,-6.484652074000000255e+01
1.021115915900000060e+00,-6.225234533199999731e+01,-6.209156081100000080e+01
1.041135835800000020e+00,-6.323821643699999839e+01,-6.390218462400000021e+01
1.061155755799999989e+00,-6.354422190599999709e+01,-6.211542357599999775e+01
1.081175675699999950e+00,-6.395691605700000082e+01,-6.371770550099999753e+01
1.101195595599999910e+00,-6.326236570599999709e+01,-6.281511588499999732e+01
1.121215515500000093e+00,-6.274833427200000102e+01,-6.317892930200000023e+01
1.141235435400000053e+00,-6.464824871199999734e+01,-6.458993716400000551e+01
1.161255355400000022e+00,-6.252334120500000125e+01,-6.429374107700000707e+01
1.181275275299999983e+00,-6.363342759799999726e+01,-6.793238438000000201e+01
1.201295195199999943e+00,-6.335155451699999674e+01,-6.824048574200000417e+01
1.221315115099999904e+00,-6.775882855099999347e+01,-6.702853305200000023e+01
1.241335035000000087e+00,-6.554497131300000490e+01,-6.763419469100000470e+01
1.261354955000000055e+00,-6.714023046100000158e+01,-7.073184661599999856e+01
1.281374874900000016e+00,-6.046635931099999794e+01,-7.352812261100000057e+01
1.301394794799999977e+00,-5.617523283700000292e+01,-6.381722560600000094e+01
1.321414714699999937e+00,-5.268924512000000249e+01,-5.778655625599999723e+01
1.341434634599999898e+00,-5.119784897499999943e+01,-5.500414418599999777e+01
1.361454554599999867e+00,-5.096820352099999951e+01,-5.346616262900000294e+01
1.381474474500000049e+00,-5.109614484299999759e+01,-5.083645434200000324e+01
1.401494394400000010e+00,-5.011784142399999809e+01,-5.148855875600000331e+01
1.421514314299999970e+00,-5.219906106999999906e+01,-5.080363829600000258e+01
1.441534234200000153e+00,-5.207345262700000177e+01,-4.984695763500000254e+01
1.461554154200000122e+00,-5.148180517499999809e+01,-4.744273627999999832e+01
1.481574074099999860e+00,-5.013562707199999835e+01,-4.623350041999999860e+01
1.501593994000000043e+00,-4.988745460599999859e+01,-4.680016829000000200e+01
1.521613913900000004e+00,-4.848287968799999703e+01,-4.673210386800000293e+01
1.541633833799999964e+00,-4.754057808200000323e+01,-4.821793280699999684e+01
1.561653753799999933e+00,-4.571089559299999650e+01,-4.798511051399999872e+01
1.581673673700000116e+00,-4.760717169800000192e+01,-4.390503820499999676e+01
1.601693593599999854e+00,-4.895028016900000267e+01,-4.407650949800000006e+01
1.621713513500000037e+00,-4.770720327099999736e+01,-4.486510960999999753e+01
1.641733433399999997e+00,-4.865548855699999820e+01,-4.272706638799999723e+01
1.661753353400000188e+00,-4.854539073000000116e+01,-4.529857540900000146e+01
1.681773273299999927e+00,-5.186754704399999838e+01,-4.781970250500000219e+01
1.701793193200000109e+00,-4.763863910399999924e+01,-5.001849317700000341e+01
1.721813113099999848e+00,-4.470851183500000303e+01,-5.052195069100000069e+01
1.741833033000000031e+00,-4.427316879100000335e+01,-5.186274392400000011e+01
1.761852952999999999e+00,-4.579161852099999663e+01,-5.374978118399999971e+01
1.781872872900000182e+00,-4.522744791499999906e+01,-5.331147154199999960e+01
1.801892792799999921e+00,-4.407579441000000031e+01,-5.213164691000000062e+01
1.821912712700000103e+00,-4.341255268300000125e+01,-5.082004263700000024e+01
1.841932632599999842e+00,-4.387858049900000168e+01,-4.872848068700000113e+01
1.861952552599999811e+00,-4.425489319199999727e+01,-5.058505778100000327e+01
1.881972472499999993e+00,-4.545486745099999837e+01,-5.138241671899999830e+01
1.901992392400000176e+00,-4.888957890300000031e+01,-4.953774007700000226e+01
1.922012312299999914e+00,-4.877485595000000274e+01,-4.896893632100000104e+01
1.942032232200000097e+00,-4.916178662699999791e+01,-5.032484702699999701e+01
1.962052152200000066e+00,-5.265096901700000132e+01,-4.773632697899999755e+01
1.982072072099999804e+00,-5.545391356500000057e+01,-4.611998878299999660e+01
2.002091991999999987e+00,-6.803059680200000514e+01,-4.794349919500000112e+01
2.022111911900000170e+00,-6.064829848800000178e+01,-4.768365929099999789e+01
2.042131831799999908e+00,-5.653080445700000212e+01,-4.849757179000000207e+01
2.062151751800000099e+00,-5.702536715099999753e+01,-4.871988916000000103e+01
2.082171671699999838e+00,-5.341520322400000254e+01,-4.812058574000000277e+01
2.102191591600000020e+00,-4.827328655200000185e+01,-4.705816948500000052e+01
2.122211511500000203e+00,-4.558176944499999905e+01,-4.579710259899999869e+01
2.142231431399999941e+00,-4.459140659599999879e+01,-4.524921346000000000e+01
2.162251351400000132e+00,-4.339394763500000352e+01,-4.323095580399999704e+01
2.182271271300000315e+00,-4.257056408599999742e+01,-4.316135163799999930e+01
2.202291191199999609e+00,-4.240415021900000170e+01,-4.212076353100000148e+01
2.222311111099999792e+00,-4.107254802500000324e+01,-4.225692209500000018e+01
2.242331030999999975e+00,-4.154247643200000084e+01,-4.280783332200000046e+01
2.262350951000000165e+00,-4.293609421800000092e+01,-4.244341221399999853e+01
2.282370870899999904e+00,-4.373927531399999680e+01,-4.159715557999999902e+01
2.302390790800000087e+00,-4.223393229700000262e+01,-4.059833107899999760e+01
2.322410710699999825e+00,-4.156363739900000098e+01,-4.052049821600000001e+01
2.342430630600000008e+00,-4.113562396100000029e+01,-4.094112064099999770e+01
2.362450550599999755e+00,-4.029255621000000076e+01,-4.058801053999999908e+01
2.382470470499999937e+00,-4.095748489999999720e+01,-4.007878839300000351e+01
2.402490390400000120e+00,-4.129299605399999962e+01,-3.993555820699999970e+01
2.422510310300000302e+00,-4.232432465499999807e+01,-4.036112357500000059e+01
2.442530230199999597e+00,-4.367015195500000146e+01,-4.092918766399999697e+01
2.462550150199999788e+00,-4.520030505900000151e+01,-4.185745764499999666e+01
2.482570070099999970e+00,-4.720914461200000289e+01,-4.316299178700000283e+01
2.502589990000000153e+00,-4.745783194700000251e+01,-4.393360101300000053e+01
2.522609909899999892e+00,-4.625618335699999761e+01,-4.465750227699999897e+01
2.542629829800000074e+00,-4.635435289200000142e+01,-4.595518934999999772e+01
2.562649749699999813e+00,-5.003213846799999942e+01,-4.689416590199999746e+01
2.582669669700000004e+00,-5.574172478300000222e+01,-4.894285407099999929e+01
2.602689589599999742e+00,-5.840127566000000314e+01,-5.076874568899999929e+01
2.622709509499999925e+00,-5.670360682700000154e+01,-5.375318804599999822e+01
2.642729429400000107e+00,-5.094752004499999742e+01,-5.649142103700000206e+01
2.662749349300000290e+00,-4.781334560300000192e+01,-5.685128116700000334e+01
2.682769269300000037e+00,-4.635953482800000103e+01,-5.609058821600000044e+01
2.702789189199999775e+00,-4.480266830600000105e+01,-5.907552543199999917e+01
2.722809109099999958e+00,-4.335449070300000329e+01,-5.558514233100000013e+01
2.742829029000000141e+00,-4.328526322999999820e+01,-5.409404652900000343e+01
2.762848948899999879e+00,-4.161847287500000192e+01,-5.207552037500000353e+01
2.782868868900000070e+00,-4.142953050999999931e+01,-5.135253567299999844e+01
2.802888788800000253e+00,-4.031617988499999683e+01,-5.103727387099999646e+01
2.822908708699999991e+00,-4.015834954000000323e+01,-4.937567408499999999e+01
2.842928628599999730e+00,-4.036460798800000305e+01,-4.830442543600000249e+01
2.862948548499999912e+00,-3.937522983499999896e+01,-4.815886456799999848e+01
2.882968468500000103e+00,-3.941577092600000043e+01,-4.994757617599999833e+01
2.902988388400000286e+00,-3.896427589399999647e+01,-5.076022519200000005e+01
2.923008308300000024e+00,-3.946705929499999854e+01,-5.162352224800000045e+01
2.943028228199999763e+00,-3.970210435900000334e+01,-5.117912626599999726e+01
2.963048148099999946e+00,-3.903214008399999813e+01,-5.414442451099999687e+01
2.983068068099999692e+00,-3.884791799100000276e+01,-5.831584409700000293e+01
3.003087987999999875e+00,-3.799710025299999927e+01,-6.428812531799999874e+01
3.023107907900000058e+00,-3.783081005500000060e+01,-6.619746861800000204e+01
3.043127827800000240e+00,-3.741601567699999720e+01,-6.402362925299999574e+01
3.063147747699999979e+00,-3.775986174500000203e+01,-5.417673177100000004e+01
3.083167667699999726e+00,-3.855262310799999881e+01,-5.008634930699999899e+01
3.103187587599999908e+00,-3.870358576200000300e+01,-4.911292660400000187e+01
3.123207507500000091e+00,-3.929401385500000288e+01,-5.173278858700000171e+01
3.143227427400000273e+00,-3.983082003199999832e+01,-5.185879706499999742e+01
3.163247347300000012e+00,-4.074302447800000238e+01,-4.832091863800000198e+01
3.183267267300000203e+00,-4.110042761399999733e+01,-4.803869549000000205e+01
3.203287187199999941e+00,-4.115767938199999776e+01,-4.809431510499999973e+01
3.223307107100000124e+00,-4.177868711600000040e+01,-4.993982121700000221e+01
3.243327026999999863e+00,-4.108230695200000326e+01,-4.881615730299999711e+01
3.263346946900000045e+00,-4.065067901199999767e+01,-4.888053850200000028e+01
3.283366866900000236e+00,-4.018631285200000036e+01,-4.974676673799999804e+01
3.303386786799999975e+00,-4.064911674500000061e+01,-4.953335338400000154e+01
3.323406706699999713e+00,-4.071014142500000332e+01,-4.800027565500000293e+01
3.343426626599999896e+00,-4.011803961500000071e+01,-4.861138893999999766e+01
3.363446546500000078e+00,-3.997196610299999975e+01,-4.925793637400000335e+01
3.383466466499999825e+00,-3.967498997199999877e+01,-4.828359831899999932e+01
3.403486386400000008e+00,-3.914872775900000335e+01,-4.727723609000000238e+01
3.423506306300000190e+00,-3.905477030699999830e+01,-4.769665435000000286e+01
3.443526226199999929e+00,-3.899860863800000033e+01,-4.665095241899999934e+01
3.463546146100000112e+00,-3.858688087699999869e+01,-4.665065886000000006e+01
3.483566066099999858e+00,-3.845539614399999806e+01,-4.718837891799999795e+01
3.503585986000000041e+00,-3.897155770599999869e+01,-4.778906795799999685e+01
3.523605905900000224e+00,-3.956031690300000037e+01,-4.786681543000000261e+01
3.543625825800000406e+00,-4.026231896299999846e+01,-4.753801721300000338e+01
3.563645745699999701e+00,-4.072322534900000335e+01,-4.739869470099999660e+01
3.583665665699999892e+00,-4.095430527199999915e+01,-4.695664202199999693e+01
3.603685585600000074e+00,-4.050448552600000340e+01,-4.712501628999999781e+01
3.623705505499999813e+00,-3.972984596199999885e+01,-4.760241492800000174e+01
3.643725425399999995e+00,-3.956924101900000323e+01,-4.934476164499999840e+01
3.663745345300000178e+00,-3.893240397200000302e+01,-4.837584573600000226e+01
3.683765265300000369e+00,-3.837311133400000074e+01,-4.806447885499999728e+01
3.703785185199999663e+00,-3.765405770299999944e+01,-4.824228342300000349e+01
3.723805105099999846e+00,-3.672108309400000081e+01,-4.776988789199999985e+01
3.743825025000000029e+00,-3.595981608000000307e+01,-4.765075672399999718e+01
3.763844944900000211e+00,-3.536427370100000189e+01,-4.911333302799999956e+01
3.783864864899999958e+00,-3.477316865299999904e+01,-5.275002558399999941e+01
3.803884784800000141e+00,-3.402756838300000197e+01,-5.546715121399999759e+01
3.823904704699999879e+00,-3.345919058300000160e+01,-5.039785401000000320e+01
3.843924624600000062e+00,-3.283585886600000237e+01,-4.743302892500000212e+01
3.863944544499999800e+00,-3.208861796000000055e+01,-4.882386243399999870e+01
3.883964464499999991e+00,-3.143911987799999963e+01,-4.791516579200000336e+01
3.903984384400000174e+00,-3.093474306099999893e+01,-4.842660520300000115e+01
3.924004304300000356e+00,-3.058036338999999870e+01,-5.065046757100000008e+01
3.944024224199999651e+00,-3.015171357499999871e+01,-5.192424113599999913e+01
3.964044144099999833e+00,-2.980390042399999828e+01,-5.144096949899999771e+01
3.984064064100000024e+00,-2.956520705300000174e+01,-4.888790680999999694e+01
4.004083984000000207e+00,-2.928835980199999867e+01,-4.919194092400000073e+01
4.024103903900000390e+00,-2.911791241399999919e+01,-4.893146157700000032e+01
4.044123823800000572e+00,-2.891968509899999873e+01,-5.014818640099999669e+01
4.064143743699999867e+00,-2.890145094700000072e+01,-5.337231577499999702e+01
4.084163663700000058e+00,-2.902026569199999884e+01,-5.548809792899999849e+01
4.104183583600000240e+00,-2.915210421800000162e+01,-5.396361207599999688e+01
4.124203503500000423e+00,-2.931662807500000056e+01,-4.943713286799999906e+01
4.144223423399999717e+00,-2.956557977900000012e+01,-4.732987046499999906e+01
4.164243343299999900e+00,-2.967632582799999952e+01,-4.613146743600000121e+01
4.184263263300000091e+00,-2.985168937299999925e+01,-4.379804102100000307e+01
4.204283183199999385e+00,-3.006872173700000062e+01,-4.437133881300000127e+01
4.224303103099999568e+00,-3.019142476100000039e+01,-4.667069772100000336e+01
4.244323022999999750e+00,-3.039027656400000055e+01,-4.395369685600000054e+01
4.264342942899999933e+00,-3.079329564900000094e+01,-4.242171496699999977e+01
4.284362862900000124e+00,-3.118957550900000086e+01,-4.409841885800000227e+01
4.304382782800000307e+00,-3.130280051600000135e+01,-4.523762449899999893e+01
4.324402702699999601e+00,-3.124315992600000058e+01,-4.363053002499999877e+01
4.344422622600000672e+00,-3.119140937299999905e+01,-4.353958940199999716e+01
4.364442542499999966e+00,-3.097382538800000162e+01,-4.317408967400000108e+01
4.384462462500000157e+00,-3.046015621999999823e+01,-4.246097270599999973e+01
4.404482382399999452e+00,-3.006651290699999990e+01,-4.166080853900000136e+01
4.424502302300000522e+00,-2.978325137099999864e+01,-4.170589639800000015e+01
4.444522222199999817e+00,-2.934432039200000020e+01,-4.186154567900000245e+01
4.464542142100000000e+00,-2.887784969499999832e+01,-4.079458151099999696e+01
4.484562062100000190e+00,-2.865952601000000044e+01,-4.008052203500000132e+01
4.504581982000000373e+00,-2.856017206399999964e+01,-4.097628351699999882e+01
4.524601901899999667e+00,-2.829772670199999851e+01,-4.175359266899999966e+01
4.544621821799999850e+00,-2.818402516500000132e+01,-4.013692350200000192e+01
4.564641741700000033e+00,-2.814146110000000078e+01,-4.030738619000000256e+01
4.584661661700000224e+00,-2.794988573399999865e+01,-4.280712877500000246e+01
4.604681581600000406e+00,-2.770144806700000117e+01,-4.360317785499999843e+01
4.624701501499999701e+00,-2.765077947700000038e+01,-4.360495100600000029e+01
4.644721421399999883e+00,-2.761139999599999939e+01,-4.097390559000000110e+01
4.664741341300000066e+00,-2.746605216600000077e+01,-4.144992566700000225e+01
4.684761261300000257e+00,-2.718755139199999959e+01,-4.288236839700000047e+01
4.704781181199999551e+00,-2.719537252299999963e+01,-4.127472045300000048e+01
4.724801101100000622e+00,-2.719209725600000027e+01,-3.855851795800000303e+01
4.744821020999999917e+00,-2.686010376400000155e+01,-3.912616190300000341e+01
4.764840940899999211e+00,-2.670739372999999972e+01,-4.065058960100000007e+01
4.784860860899999402e+00,-2.668496557099999933e+01,-4.158321203999999938e+01
4.804880780800000473e+00,-2.669175425199999907e+01,-3.871598295300000103e+01
4.824900700699999767e+00,-2.670025726800000143e+01,-3.899941773599999806e+01
4.844920620599999950e+00,-2.668365881700000131e+01,-4.008144467599999672e+01
4.864940540500000132e+00,-2.681212634299999920e+01,-4.281314368599999653e+01
4.884960460500000323e+00,-2.697597196199999914e+01,-4.134787659599999898e+01
4.904980380399999618e+00,-2.704661261700000097e+01,-3.977201470600000022e+01
4.925000300299999800e+00,-2.697621416599999833e+01,-4.035279174499999755e+01
4.945020220199999983e+00,-2.706128557299999926e+01,-4.376586149700000306e+01
4.965040140100000166e+00,-2.755002968699999855e+01,-4.350740605099999669e+01
4.985060060100000356e+00,-2.760933094800000021e+01,-4.214955398499999717e+01
5.005079979999999651e+00,-2.758358889399999825e+01,-4.069544478499999940e+01
5.025099899899999834e+00,-2.772400503600000121e+01,-4.401209747899999769e+01
5.045119819800000016e+00,-2.759712849399999968e+01,-4.505352253400000251e+01
5.065139739700000199e+00,-2.743110219200000088e+01,-4.723333614100000233e+01
5.085159659699999501e+00,-2.724848087999999890e+01,-4.540260556599999830e+01
5.105179579600000572e+00,-2.710623294799999883e+01,-4.501502387600000077e+01
5.125199499499999867e+00,-2.688096525399999948e+01,-4.532269120699999831e+01
5.145219419400000049e+00,-2.635183883899999913e+01,-4.992759030599999903e+01
5.165239339300000232e+00,-2.593429717100000076e+01,-5.005921810499999935e+01
5.185259259300000423e+00,-2.552441442800000004e+01,-4.767988451099999736e+01
5.205279179199999717e+00,-2.511687607700000058e+01,-4.739069404100000327e+01
5.225299099100000788e+00,-2.457640281600000165e+01,-5.629050275299999839e+01
5.245319019000000083e+00,-2.407733373399999977e+01,-5.050598748400000204e+01
5.265338938899999377e+00,-2.365804921799999860e+01,-4.780715640599999716e+01
5.285358858899999568e+00,-2.338293810300000075e+01,-5.033073060600000304e+01
5.305378778799999751e+00,-2.315958772300000135e+01,-5.347793045099999887e+01
