freq_GHz,S21_dB,S31_dB
1.000000000000000048e-04,-7.626947552599999369e+01,-8.040758849700000610e+01
2.011991992000000326e-02,-8.541462080700000570e+01,-9.956571462700000552e+01
4.013983984000000366e-02,-9.676250875200000223e+01,-9.136402585800000509e+01
6.015975976000000058e-02,-9.228699091199999316e+01,-9.037825329899999360e+01
8.017967968000000445e-02,-9.142637856499999316e+01,-9.951927670700000306e+01
1.001995995999999944e-01,-9.325905959099999620e+01,-9.721350928799999735e+01
1.202195195199999983e-01,-9.264387161700000206e+01,-1.007277180499999929e+02
1.402394394400000022e-01,-8.934727427400000010e+01,-9.244584230399999569e+01
1.602593593600000199e-01,-8.900117012299999431e+01,-9.949487664800000175e+01
1.802792792800000099e-01,-1.101542765699999933e+02,-9.801825465000000293e+01
2.002991991999999999e-01,-9.768225653800000430e+01,-9.837333430099999987e+01
2.203191191200000176e-01,-9.720564412100000595e+01,-9.309587679099999491e+01
2.403390390399999799e-01,-9.065742105799999706e+01,-9.299353431699999817e+01
2.603589589599999976e-01,-9.337598935100000119e+01,-1.046116718399999996e+02
2.803788788800000154e-01,-9.445136616099999571e+01,-9.091745846300000267e+01
3.003987988000000331e-01,-9.826778100600000698e+01,-9.311348998699999413e+01
3.204187187200000508e-01,-9.372832115900000360e+01,-9.471752918900000395e+01
3.404386386400000131e-01,-1.097539748300000042e+02,-9.167408016800000325e+01
3.604585585599999753e-01,-1.068060944100000000e+02,-9.379169692000000680e+01
3.804784784799999930e-01,-8.941564661200000330e+01,-1.011564340799999968e+02
4.004983983999999553e-01,-9.174290100000000336e+01,-8.567798370299999533e+01
4.205183183199999730e-01,-9.661738934299999926e+01,-8.844377640499999416e+01
4.405382382399999908e-01,-1.027071972800000026e+02,-8.735470156899999949e+01
4.605581581600000085e-01,-1.002239631700000047e+02,-9.066360122700000090e+01
4.805780780799999707e-01,-9.244074227500000518e+01,-8.941847049899999433e+01
5.005979980000000440e-01,-8.953162091500000486e+01,-8.793100308900000073e+01
5.206179179200000062e-01,-8.928745676299999445e+01,-8.270752621900000179e+01
5.406378378400000795e-01,-8.944066882200000634e+01,-8.480692532800000549e+01
5.606577577600000417e-01,-8.643458310799999822e+01,-8.850053340899999910e+01
5.806776776799998929e-01,-8.743118632600000240e+01,-8.934760276800000156e+01
6.006975976000000772e-01,-8.317336992799999962e+01,-8.684013011499999379e+01
6.207175175199999284e-01,-8.488724927900000239e+01,-8.557153572999999369e+01
6.407374374400001127e-01,-8.237058162900000013e+01,-8.963045983700000363e+01
6.607573573599999639e-01,-7.566680074600000694e+01,-8.431042914100000019e+01
6.807772772799999261e-01,-7.112005394899999544e+01,-8.812345048000000247e+01
7.007971971999999994e-01,-7.044330950299999472e+01,-8.412419569300000433e+01
7.208171171199999616e-01,-6.975188893300000359e+01,-9.359779288000000008e+01
7.408370370399999238e-01,-6.866910862000000293e+01,-7.549429339600000333e+01
7.608569569599999971e-01,-6.864497082600000510e+01,-7.257241394899999420e+01
7.808768768799999593e-01,-6.550362638800000070e+01,-6.924426831499999935e+01
8.008967967999999216e-01,-6.467437879199999884e+01,-6.648621924799999761e+01
8.209167167199999948e-01,-6.058591011800000103e+01,-6.418701095299999793e+01
8.409366366399999571e-01,-5.911941511999999932e+01,-5.976495536600000236e+01
8.609565565599999193e-01,-5.790826942500000030e+01,-5.794896146300000339e+01
8.809764764799999925e-01,-5.596888245099999892e+01,-5.881017156800000123e+01
9.009963963999999548e-01,-5.542765939099999883e+01,-5.867128072300000241e+01
9.210163163200000280e-01,-5.841718022399999910e+01,-6.221458874399999672e+01
9.410362362399999903e-01,-6.015240422699999812e+01,-5.873844674699999757e+01
9.610561561599999525e-01,-6.322135328200000259e+01,-5.981171004000000124e+01
9.810760760800000257e-01,-6.950180495799999392e+01,-6.125774282500000112e+01
1.001095996000000099e+00,-7.822585476899999435e+01,-6.252788034999999667e+01
1.021115915900000060e+00,-6.598207447800000125e+01,-6.105619365500000129e+01
1.041135835800000020e+00,-6.549759460100000297e+01,-6.227025869700000271e+01
1.061155755799999989e+00,-6.509853055099999608e+01,-6.368549746299999725e+01
1.081175675699999950e+00,-6.531387269799999729e+01,-6.303640794300000039e+01
1.101195595599999910e+00,-6.574951331100000118e+01,-6.345175231999999710e+01
1.121215515500000093e+00,-6.832276586800000473e+01,-6.334460481299999657e+01
1.141235435400000053e+00,-7.235073923900000636e+01,-6.277248803700000224e+01
1.161255355400000022e+00,-7.605890585900000644e+01,-6.328066479400000333e+01
1.181275275299999983e+00,-8.733635474700000145e+01,-6.269324795600000044e+01
1.201295195199999943e+00,-6.988644750000000272e+01,-6.274259680400000150e+01
1.221315115099999904e+00,-6.466651185999999996e+01,-5.972204844600000229e+01
1.241335035000000087e+00,-6.204940323499999977e+01,-6.131812981600000256e+01
1.261354955000000055e+00,-5.803897552800000170e+01,-6.690563638300000093e+01
1.281374874900000016e+00,-5.948683526699999646e+01,-6.361964834300000149e+01
1.301394794799999977e+00,-5.846084587600000049e+01,-6.014812571699999921e+01
1.321414714699999937e+00,-6.117305826300000149e+01,-5.633681615300000090e+01
1.341434634599999898e+00,-6.594058007600000337e+01,-5.566553256400000294e+01
1.361454554599999867e+00,-5.795235259900000102e+01,-5.492955866399999820e+01
1.381474474500000049e+00,-5.461590524100000010e+01,-5.261422083299999741e+01
1.401494394400000010e+00,-5.363906086400000106e+01,-5.302397222199999760e+01
1.421514314299999970e+00,-5.689716225600000143e+01,-5.450614958900000317e+01
1.441534234200000153e+00,-5.331578332200000148e+01,-5.685850306900000106e+01
1.461554154200000122e+00,-5.245924066799999963e+01,-5.674654272000000077e+01
1.481574074099999860e+00,-4.895201127800000052e+01,-5.819885057199999778e+01
1.501593994000000043e+00,-5.333171431400000273e+01,-5.821410549299999815e+01
1.521613913900000004e+00,-5.907898451399999828e+01,-5.681236754199999694e+01
1.541633833799999964e+00,-4.919396757999999892e+01,-5.577024643099999679e+01
1.561653753799999933e+00,-4.913729276400000145e+01,-5.250128173699999934e+01
1.581673673700000116e+00,-5.826448237700000021e+01,-5.159989610000000226e+01
1.601693593599999854e+00,-5.458822433299999943e+01,-4.819017987499999833e+01
1.621713513500000037e+00,-5.670463078400000256e+01,-4.511547078600000305e+01
1.641733433399999997e+00,-4.794071227900000309e+01,-4.561219502499999834e+01
1.661753353400000188e+00,-5.089930294199999850e+01,-4.497097303299999993e+01
1.681773273299999927e+00,-5.065935964999999896e+01,-4.639457195800000022e+01
1.701793193200000109e+00,-5.113575773400000202e+01,-4.642435740500000207e+01
1.721813113099999848e+00,-5.342075599700000055e+01,-4.603996797899999649e+01
1.741833033000000031e+00,-6.246907562700000227e+01,-4.975748774099999849e+01
1.761852952999999999e+00,-5.115465195299999834e+01,-5.421912548200000259e+01
1.781872872900000182e+00,-4.893692658900000225e+01,-5.097382488600000272e+01
1.801892792799999921e+00,-5.498152456900000118e+01,-5.138530127500000333e+01
1.821912712700000103e+00,-5.031255282499999737e+01,-5.469896403399999940e+01
1.841932632599999842e+00,-4.833470627300000189e+01,-5.898887175699999830e+01
1.861952552599999811e+00,-4.952655901899999691e+01,-5.891385639599999990e+01
1.881972472499999993e+00,-5.049200398199999995e+01,-5.963084903800000092e+01
1.901992392400000176e+00,-4.967355170599999781e+01,-5.662005507599999987e+01
1.922012312299999914e+00,-4.850309541800000090e+01,-5.654008014600000109e+01
1.942032232200000097e+00,-5.061268000300000125e+01,-5.524590958800000351e+01
1.962052152200000066e+00,-5.270198731299999650e+01,-5.975801520800000333e+01
1.982072072099999804e+00,-5.961510895499999663e+01,-7.110882881999999938e+01
2.002091991999999987e+00,-5.322681905599999652e+01,-7.116332380299999727e+01
2.022111911900000170e+00,-4.878512196700000203e+01,-6.082856281699999812e+01
2.042131831799999908e+00,-4.742343451600000037e+01,-5.730443685000000187e+01
2.062151751800000099e+00,-4.391885518800000199e+01,-5.938298110600000257e+01
2.082171671699999838e+00,-4.158845618800000210e+01,-5.689423520199999729e+01
2.102191591600000020e+00,-4.335584414099999861e+01,-5.756185674700000021e+01
2.122211511500000203e+00,-4.437081321699999847e+01,-5.778471031099999777e+01
2.142231431399999941e+00,-4.321428680799999711e+01,-5.289363025600000157e+01
2.162251351400000132e+00,-3.988385483399999742e+01,-4.962990303499999811e+01
2.182271271300000315e+00,-3.946332495000000051e+01,-4.691469539300000235e+01
2.202291191199999609e+00,-4.183146318400000041e+01,-4.595331574800000141e+01
2.222311111099999792e+00,-4.206897972899999871e+01,-4.490459727399999679e+01
2.242331030999999975e+00,-4.159458046599999648e+01,-4.526516284400000245e+01
2.262350951000000165e+00,-4.000808644600000008e+01,-4.592017451099999903e+01
2.282370870899999904e+00,-3.984337844200000234e+01,-4.564254888499999652e+01
2.302390790800000087e+00,-4.115878956299999913e+01,-4.480544009999999844e+01
2.322410710699999825e+00,-3.721702731100000250e+01,-4.284400538399999903e+01
2.342430630600000008e+00,-3.595375634199999837e+01,-4.288520777200000111e+01
2.362450550599999755e+00,-3.664651393599999807e+01,-4.278123282199999977e+01
2.382470470499999937e+00,-3.800518660299999851e+01,-4.301843762699999729e+01
2.402490390400000120e+00,-3.933293345799999940e+01,-4.356400788999999918e+01
2.422510310300000302e+00,-3.753254893700000139e+01,-4.383308441399999822e+01
2.442530230199999597e+00,-3.749585439999999892e+01,-4.446338532499999729e+01
2.462550150199999788e+00,-3.780834517099999914e+01,-4.639436589299999980e+01
2.482570070099999970e+00,-3.913379063000000002e+01,-4.670467256500000275e+01
2.502589990000000153e+00,-4.050928605200000021e+01,-4.644998965399999946e+01
2.522609909899999892e+00,-4.050379083199999997e+01,-4.681279439400000086e+01
2.542629829800000074e+00,-4.112563518900000048e+01,-5.110826938499999983e+01
2.562649749699999813e+00,-4.628688018900000145e+01,-4.948889135699999997e+01
2.582669669700000004e+00,-4.893475040399999898e+01,-4.784778908500000227e+01
2.602689589599999742e+00,-4.959215444800000228e+01,-4.914367193799999711e+01
2.622709509499999925e+00,-4.594658359799999658e+01,-5.532973413300000232e+01
2.642729429400000107e+00,-5.272486659900000205e+01,-6.337787605300000138e+01
2.662749349300000290e+00,-5.914858975199999946e+01,-6.091875784500000179e+01
2.682769269300000037e+00,-4.966839010000000343e+01,-5.363601696900000348e+01
2.702789189199999775e+00,-4.683727195499999851e+01,-5.120416972000000300e+01
2.722809109099999958e+00,-4.424182579899999723e+01,-4.876429301799999649e+01
2.742829029000000141e+00,-4.396070280099999650e+01,-4.659633425399999851e+01
2.762848948899999879e+00,-4.278930893599999763e+01,-4.570607197199999661e+01
2.782868868900000070e+00,-4.172305367799999942e+01,-4.526447916600000099e+01
2.802888788800000253e+00,-4.171205116800000212e+01,-4.460165628000000027e+01
2.822908708699999991e+00,-4.160303090699999728e+01,-4.427077287099999836e+01
2.842928628599999730e+00,-4.256818431599999997e+01,-4.407324842700000289e+01
2.862948548499999912e+00,-4.121134011000000186e+01,-4.382435469299999653e+01
2.882968468500000103e+00,-4.012438311799999724e+01,-4.461014759700000099e+01
2.902988388400000286e+00,-3.987513375900000057e+01,-4.500525516300000106e+01
2.923008308300000024e+00,-4.005847181899999754e+01,-4.567384700200000225e+01
2.943028228199999763e+00,-3.986301254499999658e+01,-4.677932615499999969e+01
2.963048148099999946e+00,-3.901567867400000011e+01,-4.688318867400000300e+01
2.983068068099999692e+00,-3.851606561100000192e+01,-4.705040477699999713e+01
3.003087987999999875e+00,-3.807332425300000267e+01,-4.680146352999999948e+01
3.023107907900000058e+00,-3.776592458100000016e+01,-4.700633193099999829e+01
3.043127827800000240e+00,-3.730070826699999742e+01,-4.677493850999999836e+01
3.063147747699999979e+00,-3.601298099699999966e+01,-4.664369264300000140e+01
3.083167667699999726e+00,-3.486201335900000231e+01,-4.674122572299999945e+01
3.103187587599999908e+00,-3.429109786800000137e+01,-4.642078735799999833e+01
3.123207507500000091e+00,-3.407089009199999907e+01,-4.633642031299999786e+01
3.143227427400000273e+00,-3.329075676899999792e+01,-4.679010055199999840e+01
3.163247347300000012e+00,-3.253871026400000233e+01,-4.763145865799999967e+01
3.183267267300000203e+00,-3.191184643200000082e+01,-4.770042157099999969e+01
3.203287187199999941e+00,-3.146273527299999984e+01,-4.679297753299999840e+01
3.223307107100000124e+00,-3.063618068199999911e+01,-4.689653888800000203e+01
