freq_GHz,S21_dB,S31_dB
1.000000000000000048e-04,-7.956741827300000125e+01,-9.439722305799999447e+01
2.011991992000000326e-02,-9.401368685699999617e+01,-9.189450463800000080e+01
4.013983984000000366e-02,-8.971000655100000643e+01,-9.663936563100000399e+01
6.015975976000000058e-02,-9.837600519500000473e+01,-9.102587472999999818e+01
8.017967968000000445e-02,-1.012107034999999939e+02,-9.557611742100000640e+01
1.001995995999999944e-01,-9.439701831499999685e+01,-9.544859894799999722e+01
1.202195195199999983e-01,-9.651532167700000286e+01,-1.325777612800000043e+02
1.402394394400000022e-01,-9.805269731200000649e+01,-9.879884530500000039e+01
1.602593593600000199e-01,-9.768895091999999636e+01,-9.806497327200000313e+01
1.802792792800000099e-01,-9.239092844699999318e+01,-8.859230416399999797e+01
2.002991991999999999e-01,-9.631588439499999765e+01,-9.979908700400000043e+01
2.203191191200000176e-01,-1.040478440899999981e+02,-9.529524019699999826e+01
2.403390390399999799e-01,-9.971491071699999509e+01,-9.804316346400000270e+01
2.603589589599999976e-01,-9.274430783500000075e+01,-1.052210489200000012e+02
2.803788788800000154e-01,-9.077987963699999341e+01,-8.830718848399999388e+01
3.003987988000000331e-01,-9.307168866600000001e+01,-1.026623326899999995e+02
3.204187187200000508e-01,-9.464531848599999364e+01,-9.150643605700000194e+01
3.404386386400000131e-01,-9.082422435300000529e+01,-9.448663567799999896e+01
3.604585585599999753e-01,-9.391178463699999668e+01,-9.940055367300000455e+01
3.804784784799999930e-01,-8.973284367899999836e+01,-9.237348367900000312e+01
4.004983983999999553e-01,-8.719612099600000477e+01,-8.760863768999999479e+01
4.205183183199999730e-01,-9.204536196700000517e+01,-8.553338299399999300e+01
4.405382382399999908e-01,-8.652535541299999977e+01,-9.349173446199999660e+01
4.605581581600000085e-01,-8.599660139700000627e+01,-8.839524849900000447e+01
4.805780780799999707e-01,-9.057620277600000236e+01,-8.970811322900000562e+01
5.005979980000000440e-01,-8.337906542999999715e+01,-9.553215343899999823e+01
5.206179179200000062e-01,-9.507965980000000172e+01,-8.460032060899999351e+01
5.406378378400000795e-01,-9.501758875100000523e+01,-8.177502181100000200e+01
5.606577577600000417e-01,-8.065155450299999984e+01,-8.193843180000000359e+01
5.806776776799998929e-01,-8.646049016899999629e+01,-9.093393397299999492e+01
6.006975976000000772e-01,-8.377421532900000045e+01,-8.921317411200000436e+01
6.207175175199999284e-01,-8.267988786300000470e+01,-8.808829229799999894e+01
6.407374374400001127e-01,-8.272862924700000065e+01,-8.288613539600000024e+01
6.607573573599999639e-01,-7.652941610199999900e+01,-8.256744712799999775e+01
6.807772772799999261e-01,-7.285261133400000233e+01,-9.792618855199999928e+01
7.007971971999999994e-01,-7.089014760599999931e+01,-8.861578809399999557e+01
7.208171171199999616e-01,-7.025699093299999731e+01,-9.314241748700000301e+01
7.408370370399999238e-01,-6.838698420699999758e+01,-7.563216140699999812e+01
7.608569569599999971e-01,-6.786372086000000081e+01,-7.236346382499999663e+01
7.808768768799999593e-01,-6.504145415600000035e+01,-6.846893872600000464e+01
8.008967967999999216e-01,-6.486565042499999834e+01,-6.733816322299999513e+01
8.209167167199999948e-01,-6.091362486399999909e+01,-6.377039162700000219e+01
8.409366366399999571e-01,-5.927093650900000199e+01,-5.942987086400000152e+01
8.609565565599999193e-01,-5.783576242200000195e+01,-5.753131745000000308e+01
8.809764764799999925e-01,-5.609207431299999769e+01,-5.858865752199999832e+01
9.009963963999999548e-01,-5.547019815600000214e+01,-5.890363911400000063e+01
9.210163163200000280e-01,-5.859930617199999858e+01,-6.215409605499999657e+01
9.410362362399999903e-01,-6.048040751700000328e+01,-5.889012612799999857e+01
9.610561561599999525e-01,-6.366080248899999816e+01,-5.971194427500000046e+01
9.810760760800000257e-01,-7.128307122299999321e+01,-6.079245900699999794e+01
1.001095996000000099e+00,-8.045932383299999913e+01,-6.219878695799999946e+01
1.021115915900000060e+00,-6.525359941600000013e+01,-6.113392139199999775e+01
1.041135835800000020e+00,-6.524218747899999471e+01,-6.212962751199999900e+01
1.061155755799999989e+00,-6.462983802899999830e+01,-6.361635546299999788e+01
1.081175675699999950e+00,-6.558242036199999347e+01,-6.267273556100000320e+01
1.101195595599999910e+00,-6.565602209300000425e+01,-6.317085314199999857e+01
1.121215515500000093e+00,-6.776963052300000356e+01,-6.393050354300000038e+01
1.141235435400000053e+00,-7.274331815899999754e+01,-6.238958704200000227e+01
1.161255355400000022e+00,-7.515716280300000562e+01,-6.362036578600000070e+01
1.181275275299999983e+00,-9.013161244399999816e+01,-6.233012909600000029e+01
1.201295195199999943e+00,-7.073515654300000222e+01,-6.278879696599999960e+01
1.221315115099999904e+00,-6.469005496699999469e+01,-5.962490360399999645e+01
1.241335035000000087e+00,-6.132081129299999844e+01,-6.156984424200000205e+01
1.261354955000000055e+00,-5.820373417900000135e+01,-6.678400689500000453e+01
1.281374874900000016e+00,-5.914351194099999987e+01,-6.346175699399999814e+01
1.301394794799999977e+00,-5.849658704099999795e+01,-6.007292550900000094e+01
1.321414714699999937e+00,-6.104340038800000201e+01,-5.675012905599999868e+01
1.341434634599999898e+00,-6.608712852300000407e+01,-5.546294704299999978e+01
1.361454554599999867e+00,-5.771511668200000145e+01,-5.485407037499999916e+01
1.381474474500000049e+00,-5.431109798699999658e+01,-5.249635679299999680e+01
1.401494394400000010e+00,-5.344517945599999820e+01,-5.326920382400000165e+01
1.421514314299999970e+00,-5.671898509900000107e+01,-5.434480827800000213e+01
1.441534234200000153e+00,-5.354449867900000015e+01,-5.651196287500000182e+01
1.461554154200000122e+00,-5.303004260499999845e+01,-5.651562842300000256e+01
1.481574074099999860e+00,-4.914180124800000016e+01,-5.903822418499999714e+01
1.501593994000000043e+00,-5.377940431300000057e+01,-5.873042437899999868e+01
1.521613913900000004e+00,-5.946289572100000242e+01,-5.726564819200000045e+01
1.541633833799999964e+00,-4.915267462700000323e+01,-5.626254885499999858e+01
1.561653753799999933e+00,-4.935270952500000163e+01,-5.254885319899999985e+01
1.581673673700000116e+00,-5.779355180600000352e+01,-5.175028209199999907e+01
1.601693593599999854e+00,-5.450870074899999906e+01,-4.829939393000000081e+01
1.621713513500000037e+00,-5.751269513300000114e+01,-4.510949647900000059e+01
1.641733433399999997e+00,-4.810793707100000205e+01,-4.553226015100000268e+01
1.661753353400000188e+00,-5.101387832000000344e+01,-4.499549446200000347e+01
1.681773273299999927e+00,-5.067701406599999814e+01,-4.593660564200000351e+01
1.701793193200000109e+00,-5.112470477200000119e+01,-4.606889044700000113e+01
1.721813113099999848e+00,-5.367331266299999726e+01,-4.570751605899999959e+01
1.741833033000000031e+00,-6.319507607199999910e+01,-4.921148852700000020e+01
1.761852952999999999e+00,-5.131322428699999705e+01,-5.421958324500000259e+01
1.781872872900000182e+00,-4.893016908799999953e+01,-5.086006903199999840e+01
1.801892792799999921e+00,-5.449300968099999665e+01,-5.120703172599999675e+01
1.821912712700000103e+00,-5.050500973799999826e+01,-5.417341715300000260e+01
1.841932632599999842e+00,-4.864348273400000267e+01,-5.844459363099999649e+01
1.861952552599999811e+00,-4.961612316699999781e+01,-5.839689488500000181e+01
1.881972472499999993e+00,-5.057935564099999937e+01,-5.975386763699999904e+01
1.901992392400000176e+00,-5.005874756099999701e+01,-5.645534206899999674e+01
1.922012312299999914e+00,-4.882453493399999900e+01,-5.652719816300000133e+01
1.942032232200000097e+00,-5.087055194500000255e+01,-5.529515139000000090e+01
1.962052152200000066e+00,-5.276153520799999797e+01,-5.910281653900000265e+01
1.982072072099999804e+00,-6.052473494000000187e+01,-7.004434761299999934e+01
2.002091991999999987e+00,-5.330720261300000118e+01,-6.704313449800000058e+01
2.022111911900000170e+00,-4.864879989399999971e+01,-6.052635079800000284e+01
2.042131831799999908e+00,-4.734057790600000004e+01,-5.824983498000000282e+01
2.062151751800000099e+00,-4.380253506399999708e+01,-6.002801654299999967e+01
2.082171671699999838e+00,-4.150407479799999777e+01,-5.790540530300000199e+01
2.102191591600000020e+00,-4.329680400899999881e+01,-5.858822529300000070e+01
2.122211511500000203e+00,-4.429199097800000118e+01,-5.758945074100000028e+01
