run_stamp,start_name,objective,target_sparam,rx_labels,f_target_GHz,df_GHz,fpm_GHz,k,S,dir_idx,eps_GHz,eps_rho,f_center_begin,f_center_1,f_center_2,f_plus,f_minus,signal_abs_fplus_minus_fminus,central_diff_per_rho,forward_diff_per_rho,backward_diff_per_rho,disagreement_ratio,n_clip_plus,n_clip_minus,dir_norm,dir_seeded,rng_seed
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,0,0.3,0.02151491284669055,68680.82000991216,58847.70003973498,78513.93998008936,73043.4830431322,80654.68586319126,7611.202820059058,-176882.02769619448,202773.9114867534,-556537.9668791424,4.292758785364331,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,1,0.3,0.02151491284669055,75246.36502954987,73581.18870963008,76911.54134946965,74987.71178874723,80204.91069672073,5217.198907973507,-121246.1083423822,-12022.04455327022,-230470.17213149418,1.8016918692462833,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,2,0.3,0.02151491284669055,74296.59942066653,73588.73462250686,75004.46421882621,79180.4671163182,74901.79417639456,4278.67293992365,99435.05164097842,226999.18565567947,-28129.082373722635,2.565778001006846,0,0,0.9999999999999999,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,3,0.3,0.02151491284669055,73870.82450564681,74369.83631849008,73371.81269280355,69710.94004262477,72201.48617853041,2490.5461359056353,-57879.53113388358,-193348.8874746671,77589.82520689993,4.681079949574009,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,4,0.3,0.02151491284669055,70900.40278103779,71961.27884444394,69839.52671763164,70366.75915982429,70207.39895451658,159.36020530770475,3703.482473837158,-24803.429370878766,32210.39431855308,15.39465195048166,0,0,0.9999999999999999,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,5,0.3,0.02151491284669055,71542.92325081053,72896.85799765022,70188.98850397083,72412.45322311729,75617.51182788597,3205.058604768681,-74484.58256854354,40415.22168845366,-189384.38682554074,3.0851969708298235,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,6,0.3,0.02151491284669055,75951.46519644727,71083.8952560389,80819.03513685563,71515.55442167056,74465.01718497359,2949.4627633030323,-68544.61331821574,-206178.4217480132,69089.19511158174,4.015889849457252,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,7,0.3,0.02151491284669055,81443.87330448272,80433.84351979475,82453.90308917071,84646.88788104811,88053.51637882175,3406.628497773636,-79169.00528596953,148874.15995543194,-307212.170527371,5.760920310105644,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,0,0.1,0.007171637615563518,85309.45667735973,84721.0808521455,85897.83250257396,86828.18753221814,88512.02405064325,1683.8365184251015,-117395.53841725957,211769.04582609417,-446560.12266061327,5.607786951381446,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,1,0.1,0.007171637615563518,90647.5811976818,88334.24873379967,92960.91366156391,89430.15353826458,88534.4919956552,895.6615426093776,62444.701658213955,-169755.88068967857,294645.2840061065,7.436998694263084,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,2,0.1,0.007171637615563518,88639.23006934309,83989.80082021334,93288.65931847286,92224.11902093922,86641.17584018344,5582.943180755785,389237.68043159135,499870.342558357,278605.01830482564,0.5684581307960466,0,0,0.9999999999999999,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,3,0.1,0.007171637615563518,93103.12611467202,92246.23372685545,93960.01850248857,93170.07715729618,88079.24796579182,5090.8291915043665,354927.94424362096,9335.530629554907,700520.357857687,1.9473947837528003,0,0,1.0,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,4,0.1,0.007171637615563518,85280.68237193383,81795.39602178703,88765.96872208062,84421.05025900708,87728.39849539011,3307.3482363830262,-230585.28704835766,-119865.52570102204,-341305.04839569324,0.9603367393004202,0,0,0.9999999999999999,True,20260224
20260616_115443,optimized,target_power_6port,S21,"S21,S31,S41,S51,S61",6.0,0.5,14.65,0.33,1.0,5,0.1,0.007171637615563518,92243.84625611932,90472.54521327696,94015.14729896167,86523.24657721556,85344.0036424023,1179.2429348132573,82215.73635107587,-797669.9305733476,962101.4032754994,21.404312750229582,0,0,1.0,True,20260224
